0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target,answer,correct_answer,score,target_as
67.0,97.0,110.0,100.0,105.0,99.0,101.0,32.0,66.0,101.0,103.0,97.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,97.9,43.0,Candice Began,Candice Bergen,0.9790000000000001,0.0
70.0,111.0,114.0,101.0,115.0,116.0,32.0,87.0,105.0,116.0,116.0,105.0,107.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,95.9,100.0,Forest Wittiker,Forest Whitaker,0.9590000000000001,0.0
75.0,101.0,118.0,105.0,110.0,32.0,74.0,97.0,109.0,101.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,189.0,Kevin James,Kevin James,1.0,0.0
66.0,114.0,105.0,100.0,103.0,101.0,116.0,116.0,101.0,32.0,70.0,111.0,110.0,100.0,97.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,97.6,38.0,Bridgette Fonda,Bridget Fonda,0.976,0.0
65.0,108.0,32.0,80.0,97.0,99.0,105.0,110.0,111.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,2.0,Al Pacino,Al Pacino,1.0,0.0
83.0,116.0,101.0,118.0,101.0,32.0,77.0,97.0,114.0,116.0,105.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,293.0,Steve Martin,Steve Martin,1.0,0.0
65.0,110.0,116.0,104.0,111.0,110.0,121.0,32.0,81.0,117.0,105.0,110.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,19.0,Anthony Quinn,Anthony Quinn,1.0,0.0
75.0,105.0,114.0,115.0,116.0,101.0,110.0,32.0,68.0,117.0,110.0,115.0,116.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,193.0,Kirsten Dunst,Kirsten Dunst,1.0,0.0
65.0,110.0,110.0,97.0,32.0,80.0,97.0,113.0,117.0,105.0,110.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,99.8,15.0,Anna Paquine,Anna Paquin,0.998,0.0
65.0,108.0,97.0,110.0,32.0,65.0,108.0,100.0,97.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,3.0,Alan Alda,Alan Alda,1.0,0.0
66.0,101.0,110.0,32.0,83.0,116.0,105.0,108.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,26.0,Ben Stiller,Ben Stiller,1.0,0.0
67.0,104.0,114.0,105.0,115.0,116.0,111.0,112.0,104.0,32.0,87.0,97.0,108.0,116.0,122.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,54.0,Christoph Waltz,Christoph Waltz,1.0,0.0
74.0,97.0,115.0,111.0,110.0,32.0,66.0,97.0,116.0,101.0,109.0,97.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,137.0,Jason Bateman,Jason Bateman,1.0,0.0
